Dental_Type,Age_Band,Gender,LCG,Activity_Type,Percentage_of_Gross_Earnings_from_Health_Service_Dentistry,Practice_Size,Weekly_Working_Hours,Percentage_of_Dental_Time_Spent_on_Health_Service_Dentistry,Business_Arrangement,Range_of_Taxable_Income_£,Primary_Sample,Estimated_Population,Average_Gross_Earnings_£,Average_Expenses_£,Average_Taxable_Income_£,EER_%,Median_Taxable_Income_£,Q1_Taxable_Income_£,Q1_Taxable_Income_£,Count_of_Dentists,Per_Cent_of_Dentists,Cumulative_Per_Cent_of_Dentists,Total_Items_of_Service,Orthodontic_Items_of_Service,Total_Expenses_£,Office_and_General_Business_£,Premises_£,Employee_£,Car_and_Travel_£,Interest_£,Other_£,Net_Capital_Allowances£,Total_Expenses_%,Office_and_General_Business_%,Premises_%,Employee_%,Car_and_Travel_%,Interest_%,Other_%,Net_Capital_Allowances%
All,,,,,>=75%,,,,,,,450,113100,46700,66400,41.3,,,,,,,,,46700,3900,4800,8500,900,400,26300,1800,100,8.3,10.3,18.3,1.9,0.8,56.5,3.9
Principal,,,,,,Not_single-handed_no_Assistants,,,,,,250,375100,249600,125500,66.5,,,,,,,,,249600,13900,16200,83600,1900,3700,118200,12100,100,5.6,6.5,33.5,0.8,1.5,47.4,4.9
Principal,,,,,,Not_single-handed_with_Assistants,,,,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,Single-handed,,,,,,100,234100,121400,112700,51.9,,,,,,,,,121400,9300,10800,40100,1600,3000,50700,5900,100,7.7,8.9,33.1,1.3,2.5,41.7,4.8
Principal,,,,,,,<35,,,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,>=35<45,,,,,100,266800,168400,98400,63.1,,,,,,,,,168400,11500,12400,67300,1700,3100,63700,8800,100,6.8,7.4,40,1,1.8,37.8,5.2
Principal,,,,,,,>=45,,,,,100,464400,297100,167300,64,,,,,,,,,297100,15000,15700,92500,1800,4100,152500,15500,100,5,5.3,31.1,0.6,1.4,51.3,5.2
Principal,,,,,,,All_Responders,,,,,200,359500,229500,129900,63.9,,,,,,,,,229500,12800,14900,77500,1600,3200,108000,11600,100,5.6,6.5,33.7,0.7,1.4,47,5
Principal,,,,,,,No_Survey,,,,,100,318600,207900,110700,65.3,,,,,,,,,207900,13300,14600,65800,2200,3700,98400,9800,100,6.4,7,31.7,1.1,1.8,47.3,4.7
Associate,,,,,,,<35,,,,,100,70500,25300,45300,35.8,,,,,,,,,25300,3500,3400,400,500,100,16700,700,100,13.9,13.3,1.6,1.8,0.5,66,2.8
Associate,,,,,,,>=35<45,,,,,150,115400,36800,78500,31.9,,,,,,,,,36800,8500,4400,1200,500,100,20800,1300,100,23.2,12,3.3,1.3,0.2,56.6,3.4
Associate,,,,,,,>=45,,,,,<25,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate,,,,,,,All_Responders,,,,,300,100100,33500,66600,33.5,,,,,,,,,33500,6300,3800,800,600,100,20800,1100,100,18.8,11.4,2.4,1.7,0.3,62.2,3.3
Associate,,,,,,,No_Survey,,,,,250,95600,37200,58400,38.9,,,,,,,,,37200,3700,3500,1300,700,100,27200,600,100,10,9.4,3.6,2,0.3,73.1,1.6
All,,,,,,,<35,,,,,150,148900,82100,66800,55.1,,,,,,,,,82100,5800,7800,20700,700,600,43200,3300,100,7,9.5,25.3,0.8,0.7,52.6,4
All,,,,,,,>=35<45,,,,,250,169500,83900,85600,49.5,,,,,,,,,83900,9600,7300,24800,900,1100,36200,4000,100,11.4,8.7,29.6,1.1,1.4,43.1,4.7
All,,,,,,,>=45,,,,,100,398100,247300,150800,62.1,,,,,,,,,247300,12800,12900,73900,1800,3300,130000,12700,100,5.2,5.2,29.9,0.7,1.3,52.5,5.1
All,,,,,,,All_Responders,,,,,500,214100,119700,94400,55.9,,,,,,,,,119700,9100,8700,34500,1000,1500,59100,5700,100,7.6,7.3,28.8,0.9,1.2,49.4,4.8
All,,,,,,,No_Survey,,,,,350,170200,94300,75900,55.4,,,,,,,,,94300,6900,7200,22900,1200,1300,51000,3700,100,7.4,7.7,24.3,1.3,1.4,54.1,3.9
Principal,,Female,,,,,<35,,,,,<25,-,-,-,-
Principal,,Female,,,,,>=35<45,,,,,<25,-,-,-,-
Principal,,Female,,,,,>=45,,,,,<25,-,-,-,-
Principal,,Female,,,,,All_Responders,,,,,50,-,-,-,-
Principal,,Male,,,,,<35,,,,,50,-,-,-,-
Principal,,Male,,,,,>=35<45,,,,,50,255100,153700,101400,60.3
Principal,,Male,,,,,>=45,,,,,100,474800,298600,176200,62.9
Principal,,Male,,,,,All_Responders,,,,,200,373100,235300,137700,63.1
Associate,,Female,,,,,<35,,,,,100,67900,23600,44300,34.8
Associate,,Female,,,,,>=35<45,,,,,100,97900,32800,65100,33.5
Associate,,Female,,,,,>=45,,,,,<25,-,-,-,-
Associate,,Female,,,,,All_Responders,,,,,150,83900,28400,55500,33.8
Associate,,Male,,,,,<35,,,,,<25,-,-,-,-
Associate,,Male,,,,,>=35<45,,,,,50,135800,41500,94300,30.6
Associate,,Male,,,,,>=45,,,,,<25,-,-,-,-
Associate,,Male,,,,,All_Responders,,,,,100,125300,41400,83800,33.1
All,,Female,,,,,<35,,,,,100,96600,41400,55200,42.9,,,,,,,,,,,,,,,,,,,,,,,,
All,,Female,,,,,>=35<45,,,,,100,131900,63900,67900,48.5,,,,,,,,,,,,,,,,,,,,,,,,
All,,Female,,,,,>=45,,,,,<25,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
All,,Female,,,,,All_Responders,,,,,200,122900,60500,62500,49.2,,,,,,,,,,,,,,,,,,,,,,,,
All,,Male,,,,,<35,,,,,50,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
All,,Male,,,,,>=35<45,,,,,150,195500,97600,97800,50,,,,,,,,,,,,,,,,,,,,,,,,
All,,Male,,,,,>=45,,,,,100,421400,259300,162100,61.5,,,,,,,,,,,,,,,,,,,,,,,,
All,,Male,,,,,All_Responders,,,,,300,279700,162300,117400,58,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,<=25%,,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,>25<75%,,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,>=75%,,,,100,361300,229800,131400,63.6,,,,,,,,,229800,11000,14700,81400,1900,3100,104500,13400,100,4.8,6.4,35.4,0.8,1.3,45.5,5.8
Principal,,,,,,,,All_Responders,,,,200,361500,232700,128800,64.4,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,No_Survey,,,,150,309100,201200,107900,65.1,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,All,,,,350,340200,219900,120300,64.6,,,,,,,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,<=25%,,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Associate,,,,,,,,>25<75%,,,,50,97100,38800,58300,39.9,,,,,,,,,38800,8300,5800,0,800,300,20900,2600,100,21.4,14.9,0.1,2.2,0.8,54,6.7
Associate,,,,,,,,>=75%,,,,150,97700,30800,66900,31.6,,,,,,,,,30800,3500,2700,1200,500,0,22300,700,100,11.2,8.6,3.9,1.5,0.1,72.2,2.3
Associate,,,,,,,,All_Responders,,,,250,100400,34200,66300,34,,,,,,,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,No_Survey,,,,250,95900,37200,58700,38.8,,,,,,,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,All,,,,500,98100,35700,62400,36.4,,,,,,,,,,,,,,,,,,,,,,,,
All,,,,,,,,<=25%,,,,100,286300,165200,121000,57.7,,,,,,,,,165200,19000,11000,44700,1100,3000,80000,6400,100,11.5,6.7,27.1,0.6,1.8,48.4,3.9
All,,,,,,,,>25<75%,,,,100,202700,123800,78900,61.1,,,,,,,,,123800,11300,10400,34000,1000,1700,58500,6800,100,9.1,8.4,27.5,0.8,1.4,47.2,5.5
All,,,,,,,,>=75%,,,,300,200100,108100,91900,54,,,,,,,,,108100,6400,7300,32400,1000,1200,54200,5600,100,5.9,6.8,29.9,0.9,1.1,50.1,5.2
All,,,,,,,,All_Responders,,,,450,214900,121200,93700,56.4,,,,,,,,,,,,,,,,,,,,,,,,
All,,,,,,,,No_Survey,,,,400,168600,93100,75500,55.2,,,,,,,,,,,,,,,,,,,,,,,,
All,,,,,,,,All,,,,850,193200,108100,85200,55.9,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,Limited_Company,,,<25,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,,Partnership,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,,Expenses_Sharing_Group,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,,Sole_Trader_without_help,,,50,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,,Sole_Trader_with_help,,,100,476600,327000,149700,68.6,,,,,,,,,327000,14300,17200,125600,1800,4900,144300,18900,100,4.4,5.3,38.4,0.5,1.5,44.1,5.8
Principal,,,,,,,,,Other_Mixed,,,<25,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Principal,,,,,,,,,All_Responders,,,200,364300,232900,131400,63.9,,,,,,,,,232900,13000,15300,79400,1700,3300,108400,11800,100,5.6,6.6,34.1,0.7,1.4,46.6,5.1
Principal,,,,,,,,,No_Survey,,,150,312400,203300,109100,65.1,,,,,,,,,203300,12900,14000,63200,2200,3500,98100,9400,100,6.4,6.9,31.1,1.1,1.7,48.2,4.6
